t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,22850,3625,3925,,,,,
2,2015,2,23185,4210,4940,2840,1770,3785,,
3,2015,3,21200,4790,3610,3415,1150,2275,,
4,2015,4,20935,4845,3120,2555,1720,3570,,
5,2016,1,22650,4205,4160,3260,1110,3370,,
6,2016,2,24205,5370,4290,3505,1505,3845,,
7,2016,3,22940,5300,4085,3375,1360,3730,,
8,2016,4,22150,5495,3510,3280,1585,3645,,
9,2017,1,24800,4220,3615,5230,2570,3995,,
10,2017,2,26305,5665,5465,3530,1710,4405,,
11,2017,3,27465,5505,4655,3330,1720,6410,,
12,2017,4,27425,4960,4470,4125,2655,5310,,
13,2018,1,29975,4730,4135,4675,2380,7115,,
14,2018,2,36110,7650,6160,4575,2805,7755,,
15,2018,3,35425,6510,4795,4710,3285,6875,,
16,2018,4,34190,5515,4435,5515,3360,7110,,
17,2019,1,37665,6295,5220,5580,4145,8565,,
18,2019,2,41460,6875,7060,7045,3110,7695,,
19,2019,3,40340,4960,6100,6080,3295,8835,,
20,2019,4,37475,6160,4945,5465,4245,8260,,
21,2020,1,43390,7175,4975,6300,6175,18765,3170,15595
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,65435,8085,7850,14415,6355,28730,6240,22490
25,2021,1,63660,8100,7785,11115,8160,28500,4250,24255
26,2021,2,72005,12485,8255,10890,8375,32000,5060,26940
27,2021,3,79675,9795,8055,14095,7080,40655,6005,34650
28,2021,4,78570,7710,9610,12870,8775,39605,6430,33175
29,2022,1,82830,7975,8085,12265,12925,41580,6470,35105
