t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,26955,5320,6110,5605,,4780,,
2,2015,2,30190,5725,7090,6725,2285,3615,,
3,2015,3,24570,5640,4720,4905,2280,2860,,
4,2015,4,23110,4265,5100,4735,2185,3500,,
5,2016,1,24100,5230,5580,5390,1980,3320,,
6,2016,2,25800,5840,6510,5710,1975,3095,,
7,2016,3,27845,5895,6190,5750,2925,4050,,
8,2016,4,24390,5650,5315,5615,2335,3375,,
9,2017,1,26835,5635,5420,6210,2345,4680,,
10,2017,2,30870,6390,6950,6735,3220,4360,,
11,2017,3,31490,5270,6310,8240,3395,4900,,
12,2017,4,30945,5650,5740,7170,3790,4920,,
13,2018,1,34915,6685,7245,7245,3885,6390,,
14,2018,2,39550,7230,8110,9310,3690,6725,,
15,2018,3,39390,6370,7430,9885,4435,6710,,
16,2018,4,40625,6395,7715,9405,4450,8275,,
17,2019,1,44370,6895,8450,10530,4280,7940,,
18,2019,2,43280,7765,8065,10075,4570,8435,,
19,2019,3,38720,6735,7810,8150,3830,7240,,
20,2019,4,39970,6590,7060,9010,4890,7735,,
21,2020,1,44670,8770,9225,9695,5550,11435,3240,8195
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,39465,8225,8390,8820,5405,8625,2200,6430
25,2021,1,48205,11550,10960,10830,5305,9560,2885,6675
26,2021,2,54245,12040,11825,12775,6660,10945,3835,7110
27,2021,3,61075,8565,11915,15560,9230,15805,4250,11560
28,2021,4,66490,10010,12155,16165,9580,18585,4490,14095
29,2022,1,69600,11635,12935,15340,8555,21135,5480,15650
