t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,18995,,,,,,,
2,2015,2,24660,7455,4365,2880,1205,2865,,
3,2015,3,15150,4720,1855,1745,735,1140,,
4,2015,4,10965,2560,975,2015,500,595,,
5,2016,1,11590,4465,1365,905,585,985,,
6,2016,2,19190,5940,3900,2615,950,1215,,
7,2016,3,13640,3380,3250,1055,285,855,,
8,2016,4,13045,2585,3580,2575,525,690,,
9,2017,1,14605,3115,2250,3150,1005,1230,,
10,2017,2,21475,6270,4290,2430,1325,2575,,
11,2017,3,17375,4050,3200,2395,1390,1770,,
12,2017,4,16015,3115,2790,3165,460,1605,,
13,2018,1,20065,4185,3005,3500,1695,1785,,
14,2018,2,23965,4325,3765,3790,2185,2665,,
15,2018,3,20600,3730,3425,2970,1800,2685,,
16,2018,4,18385,2885,3020,2210,1035,2830,,
17,2019,1,20065,3825,2790,2165,1355,2275,,
18,2019,2,23980,4800,3765,3740,1560,2735,,
19,2019,3,19985,5300,1935,1680,885,2405,,
20,2019,4,15185,2920,2005,1520,,1525,,
21,2020,1,16375,4285,2635,2210,1200,6045,,5070
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,16405,4190,2465,2150,975,6625,1675,4950
25,2021,1,18935,5955,3180,3050,1520,5235,680,4550
26,2021,2,28060,7235,4570,7205,2385,6665,940,5725
27,2021,3,23870,3820,3825,5030,2165,9030,1405,7630
28,2021,4,22790,3255,3195,3995,3010,9335,1195,8145
29,2022,1,24045,5250,3570,4310,1560,9350,1155,8195
