t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,150140,46635,31190,21765,,9115,,
2,2015,2,162655,50240,38580,21815,5325,10400,,
3,2015,3,164250,53520,36630,20030,6945,8950,,
4,2015,4,143590,40645,32375,20750,7105,8015,,
5,2016,1,115070,39430,25995,13425,4085,7280,,
6,2016,2,142840,40330,32760,18145,6750,13960,,
7,2016,3,147700,43140,34480,20465,7115,10365,,
8,2016,4,141805,39160,30720,22440,7845,11465,,
9,2017,1,122670,33415,26520,17945,6165,12240,,
10,2017,2,165920,46395,35735,25915,7280,15555,,
11,2017,3,168255,46285,34645,24765,7915,13060,,
12,2017,4,174990,42585,39925,28125,9390,12005,,
13,2018,1,144335,36660,27280,23375,6755,14580,,
14,2018,2,187520,49640,38575,30200,10780,15630,,
15,2018,3,185680,45710,39530,27155,9905,15845,,
16,2018,4,191920,43830,40855,33705,10350,15130,,
17,2019,1,154845,39025,29390,23315,7185,15115,,
18,2019,2,196040,52320,40115,27350,8960,17630,,
19,2019,3,197480,48500,40460,26300,9975,17720,,
20,2019,4,178010,40410,38050,26250,9675,15440,,
21,2020,1,158110,50780,32205,24130,10025,40970,5395,35575
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,175760,56090,40960,32105,14695,31905,4420,27490
25,2021,1,141580,47725,32665,20415,10625,30150,3955,26195
26,2021,2,224620,71235,53070,42160,15565,42590,6800,35790
27,2021,3,338115,66010,75370,69335,34375,93025,17760,75265
28,2021,4,324175,49220,56810,59980,37915,120250,19870,100385
29,2022,1,274255,62120,51045,46175,21635,93280,13585,79695
