t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,67050,15045,11480,9935,,,,
2,2015,2,68630,18240,12000,9885,2890,6695,,
3,2015,3,61175,15300,11075,7750,3010,6615,,
4,2015,4,51025,11875,8395,7855,2255,5195,,
5,2016,1,44765,11170,7220,5825,1840,3960,,
6,2016,2,52860,15360,9870,6865,2230,3770,,
7,2016,3,58875,15355,9365,7525,3100,4945,,
8,2016,4,55690,12670,9330,7420,3040,5260,,
9,2017,1,60185,17040,10230,7225,3305,5145,,
10,2017,2,73010,19680,14555,11115,3295,5995,,
11,2017,3,83060,16970,13910,15570,5220,9205,,
12,2017,4,79805,15610,13330,11920,4940,8775,,
13,2018,1,82240,17105,12770,10555,5165,10145,,
14,2018,2,102160,20780,16860,14680,6235,12700,,
15,2018,3,105640,17925,16910,15280,8915,12640,,
16,2018,4,98560,14245,13850,14940,6960,14020,,
17,2019,1,87995,15465,11345,12240,4710,13805,,
18,2019,2,105210,20390,17140,14875,5470,13205,,
19,2019,3,101295,16835,15315,16345,5860,13720,,
20,2019,4,83960,12980,12185,11395,4865,12170,,
21,2020,1,85945,22610,13655,13515,5865,30300,3380,26920
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,92740,21705,15015,15620,8055,32340,4790,27555
25,2021,1,97515,24470,16685,16930,6935,32495,4100,28400
26,2021,2,131520,32005,27790,22585,11195,37945,4685,33255
27,2021,3,156965,21795,26015,27930,16785,64435,9035,55400
28,2021,4,158840,19700,20750,27875,16535,73980,11025,62950
29,2022,1,159260,26125,23155,23570,15585,70825,9215,61610
