t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,,,,,,,,
2,2015,2,19370,4320,6335,3135,1230,1170,,
3,2015,3,12890,3810,2590,1950,915,720,,
4,2015,4,8990,3290,1840,1470,430,645,,
5,2016,1,8330,2210,2110,1820,425,865,,
6,2016,2,13905,4155,2670,2805,600,,,
7,2016,3,,,,,,,,
8,2016,4,,,,,,,,
9,2017,1,14610,3850,3995,1910,,,,
10,2017,2,,,,,,,,
11,2017,3,,,,,,,,
12,2017,4,,,,,,,,
13,2018,1,3500,,,,,,,
14,2018,2,,,,,,,,
15,2018,3,2275,,,,,,,
16,2018,4,,,,,,,,
17,2019,1,,,,,,,,
18,2019,2,2505,,,235,,,,
19,2019,3,1000,,,,,,,
20,2019,4,1410,695,,,,,,
21,2020,1,,,,,,,,
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,750,,,,,,,
25,2021,1,,,,,,,,
26,2021,2,1660,,,780,130,300,,230
27,2021,3,,,,,,,,
28,2021,4,1410,,,,,,,
29,2022,1,,,,,,,,
