t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,408125,113260,83630,64160,25115,39830,,
2,2015,2,451925,126345,102280,68450,22310,39165,,
3,2015,3,407865,121925,87780,58290,21275,31790,,
4,2015,4,358755,96690,75190,57310,21110,31200,,
5,2016,1,330215,98600,71795,48650,16660,29350,,
6,2016,2,391190,113035,87695,59525,21595,37780,,
7,2016,3,404860,111330,89330,64380,23200,35870,,
8,2016,4,381010,99275,80880,64735,24525,37425,,
9,2017,1,387080,100235,82725,62370,24125,44190,,
10,2017,2,459685,123895,99145,76490,25875,51040,,
11,2017,3,467395,115040,94575,81310,29830,50170,,
12,2017,4,469360,105970,96565,81620,33075,50235,,
13,2018,1,461845,105460,85690,77730,31165,61075,,
14,2018,2,546820,131070,106870,93545,37965,61300,,
15,2018,3,550670,118755,106225,92915,41265,64560,,
16,2018,4,547330,109860,101830,98895,40675,68900,,
17,2019,1,506140,107765,92120,84130,34600,69105,,
18,2019,2,581595,133425,112230,96610,37345,72430,,
19,2019,3,562910,121170,105905,90105,35695,71220,,
20,2019,4,508590,107615,92770,82760,36390,64505,,
21,2020,1,512760,141330,96630,85765,42750,146285,23220,123070
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,560215,142440,109620,107585,51560,149010,26115,122895
25,2021,1,553480,148945,109325,95515,50095,149600,22655,126945
26,2021,2,731905,200195,152400,139565,64030,175715,31525,144185
27,2021,3,912580,160135,178810,184600,97440,291595,51310,240290
28,2021,4,915545,135850,151660,178815,105960,343260,58010,285250
29,2022,1,890385,173840,149430,156055,90075,320985,51250,269740
