t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,9760,,,,,,,
2,2015,2,13020,3080,2740,2305,530,815,,
3,2015,3,6640,2415,1735,1350,210,325,,
4,2015,4,6560,1800,1465,1705,410,460,,
5,2016,1,7565,2935,1650,1215,365,560,,
6,2016,2,10520,3335,3055,2025,635,535,,
7,2016,3,8160,2260,1870,1770,330,645,,
8,2016,4,7985,1760,1890,1960,410,670,,
9,2017,1,10930,2675,3215,2340,460,770,,
10,2017,2,14525,4095,2820,2845,850,2340,,
11,2017,3,8895,2375,2235,1495,560,865,,
12,2017,4,8415,1605,1495,1905,1030,1040,,
13,2018,1,10305,2415,2610,1615,750,1125,,
14,2018,2,12170,3135,3240,2765,835,890,,
15,2018,3,10185,2410,2635,2780,490,730,,
16,2018,4,10600,2705,1900,2420,1065,1025,,
17,2019,1,12770,3580,3320,2190,1080,1180,,
18,2019,2,13725,3245,3365,2265,1270,2180,,
19,2019,3,11805,3005,2295,2660,410,1245,,
20,2019,4,10375,2675,1715,2550,630,1235,,
21,2020,1,11735,4290,2645,1895,820,2085,405,1675
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,8140,2365,1875,2025,405,1475,255,1220
25,2021,1,11015,4850,2380,1555,1150,1080,200,880
26,2021,2,14415,4530,2875,3470,1595,1945,645,1300
27,2021,3,16450,3760,3690,3505,1940,3555,895,2660
28,2021,4,16060,2430,3305,4265,2165,3895,995,2900
29,2022,1,16285,3980,3260,3205,1870,3975,695,3280
