"Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0328-03"
"Release date: 2022-06-21"
"Geography: Canada, Province or territory"
""
""

,"Geography","Alberta",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Statistics","Job vacancies 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Occupational Classification 4","Job vacancy characteristics","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022"
,,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, all occupations 5","Duration of job vacancy, all durations 6 7","76,935","72,345","64,480","50,835","39,150","42,365","44,135","42,435","42,625","50,920","53,635","51,265","50,685","59,830","58,745","55,030","49,755","59,930","52,890","45,465","48,350","..","..","44,700","50,390","69,050","86,385","85,925","88,165"
,"Less than 15 days 7","17,075","15,355","17,525","13,370","11,720","12,155","12,835","12,825","12,440","17,110","14,935","14,035","14,560","17,590","16,415","12,665","12,740","17,815","13,970","11,705","15,615","..","..","18,725","19,950","24,945","22,825","18,815","22,690"
,"15 to 29 days 7","F","14,800","11,665","9,760","6,990","8,255","8,975","7,545","7,635","9,800","11,500","10,980","10,200","12,860","13,285","9,540","10,290","11,850","11,285","9,160","10,460","..","..","8,620","10,670","17,105","20,870","17,660","18,380"
,"30 to 59 days 7","8,605","11,285","7,850","7,325","4,505","4,660","5,845","6,230","6,765","7,365","9,730","9,375","8,210","9,605","9,400","10,915","8,715","8,865","8,250","7,860","8,040","..","..","6,990","8,690","13,825","17,360","19,120","15,660"
,"60 to 89 days 7","F","3,705","2,965","2,430","2,180","1,965","2,595","2,645","2,555","2,315","2,570","2,265","2,510","3,175","2,965","3,750","3,640","3,040","2,760","2,530","3,795","..","..","3,265","3,330","3,665","7,980","9,020","6,870"
,"90 days or more 7","F","7,170","5,675","3,315","3,785","4,415","4,300","4,255","4,170","3,885","3,990","4,000","4,480","5,290","5,195","5,690","5,920","6,485","5,345","4,615","10,445","..","..","7,100","7,750","9,510","17,350","21,310","24,565"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1,800","..","..","865","1,505","1,670","3,945","4,655","6,235"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","8,645","..","..","6,235","6,245","7,845","13,405","16,655","18,330"
"Management occupations  [0]","Duration of job vacancy, all durations 6 7","F","3,695","2,680","2,705","2,665","2,630","2,570","2,510","2,195","2,830","2,710","2,260","2,610","2,630","2,800","3,090","3,150","3,070","2,595","2,285","2,560","..","..","1,910","2,520","x","3,110","3,835","x"
,"Less than 15 days 7","F","735","630","670","630","695","770","620","685","840","530","610","610","610","635","745","680","840","695","645","630","..","..","655","865","x","710","980","x"
,"15 to 29 days 7","F","735","630","575","520","440","495","425","325","525","675","605","665","640","580","675","835","630","560","325","725","..","..","475","545","x","745","890","x"
,"30 to 59 days 7","F","675","575","640","595","555","510","540","475","860","675","565","725","730","600","615","705","625","525","580","570","..","..","350","660","x","705","930","x"
,"60 to 89 days 7","F","440","260","205","250","165","175","275","175","180","320","150","270","280","215","330","255","270","290","275","295","..","..","120","F","x","400","525","x"
,"90 days or more 7","F","850","425","455","480","580","385","405","475","335","340","245","245","315","400","485","430","480","410","425","340","..","..","310","215","x","550","510","x"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","80","..","..","F","F","x","140","170","x"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","260","..","..","220","160","x","415","340","x"
"Business, finance and administration occupations  [1]","Duration of job vacancy, all durations 6 7","F","5,105","4,665","3,470","3,615","2,845","4,105","3,895","4,050","4,600","4,690","4,745","5,650","5,070","5,005","5,490","5,990","6,150","6,005","4,890","5,705","..","..","4,540","5,570","7,120","7,385","8,110","9,560"
,"Less than 15 days 7","F","1,915","2,125","1,485","1,560","1,180","1,470","1,475","1,960","2,090","1,875","1,745","2,070","1,970","1,695","1,935","2,070","2,350","1,925","1,720","2,260","..","..","2,150","2,675","3,055","2,320","2,310","3,275"
,"15 to 29 days 7","F","1,000","850","785","775","605","1,035","825","655","1,135","985","890","1,180","1,360","1,520","1,125","1,625","1,475","1,400","1,175","1,350","..","..","985","1,220","1,640","2,025","2,140","2,060"
,"30 to 59 days 7","F","1,195","820","540","590","425","580","725","685","560","1,110","1,210","1,055","895","965","1,395","1,025","975","1,340","890","1,020","..","..","705","870","1,595","1,690","2,320","2,060"
,"60 to 89 days 7","F","390","275","215","180","215","320","280","315","230","245","220","360","385","295","425","335","315","275","405","375","..","..","290","345","365","525","620","675"
,"90 days or more 7","F","280","325","255","275","215","375","240","370","470","325","505","860","385","360","405","715","705","720","540","700","..","..","410","460","455","825","720","1,490"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","F","215","245","240","345"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","510","..","..","310","250","245","580","480","1,145"
"Natural and applied sciences and related occupations  [2]","Duration of job vacancy, all durations 6 7","F","3,130","1,925","1,745","1,890","1,520","1,735","1,680","1,915","2,685","2,310","2,365","2,810","3,195","3,330","3,390","4,675","4,795","3,510","3,755","4,095","..","..","2,840","4,100","3,765","4,590","4,465","5,680"
,"Less than 15 days 7","F","465","455","385","515","505","605","535","560","810","550","540","1,090","740","880","710","1,085","1,110","750","755","1,275","..","..","835","1,555","1,090","1,050","1,150","1,240"
,"15 to 29 days 7","F","555","345","500","465","380","330","380","420","585","655","590","605","815","775","705","795","1,005","780","750","790","..","..","695","1,080","935","1,405","835","1,285"
,"30 to 59 days 7","F","590","465","350","260","320","325","385","365","565","415","570","515","830","810","630","1,255","1,175","570","930","690","..","..","415","540","910","890","1,310","1,420"
,"60 to 89 days 7","F","240","145","130","155","95","135","105","F","145","220","210","110","225","270","405","455","275","405","260","340","..","..","290","F","295","485","355","435"
,"90 days or more 7","F","665","330","275","F","125","215","175","190","355","355","325","330","435","405","555","705","920","700","595","1,000","..","..","605","620","535","760","815","1,300"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","195","..","..","F","F","120","175","F","600"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","805","..","..","F","245","410","585","590","700"
"Health occupations  [3]","Duration of job vacancy, all durations 6 7","F","2,950","1,660","1,705","1,375","1,855","1,955","1,410","1,120","1,830","1,945","1,265","2,125","3,390","2,365","1,895","1,955","2,330","1,770","1,500","1,590","..","..","2,515","2,655","3,005","4,205","4,040","5,095"
