"Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0328-03"
"Release date: 2022-06-21"
"Geography: Canada, Province or territory"
""
""

,"Geography","British Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Statistics","Job vacancies 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Occupational Classification 4","Job vacancy characteristics","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022"
,,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, all occupations 5","Duration of job vacancy, all durations 6 7","68,020","69,820","72,950","59,970","61,505","72,155","77,010","72,840","68,190","85,795","92,645","88,470","92,625","105,745","110,565","104,515","101,945","108,115","106,260","90,140","93,125","..","..","93,835","100,365","122,260","157,575","148,875","149,190"
,"Less than 15 days 7","F","18,345","18,695","14,760","16,280","18,295","18,055","16,425","15,805","20,050","19,715","14,290","17,550","18,655","18,610","19,490","18,555","22,065","21,555","17,555","23,720","..","..","20,705","24,220","37,790","26,815","19,595","26,680"
,"15 to 29 days 7","F","15,485","15,015","10,570","13,510","15,640","18,380","14,755","12,860","19,875","18,655","16,175","16,085","18,105","19,695","17,030","16,515","18,760","19,190","13,920","16,250","..","..","16,515","19,925","23,990","30,055","23,255","25,215"
,"30 to 59 days 7","F","10,130","10,490","9,610","8,095","12,665","11,890","11,720","11,630","12,780","16,800","18,075","14,975","19,940","18,015","18,085","16,855","16,615","16,945","14,105","15,610","..","..","19,050","18,305","23,685","31,565","29,680","26,370"
,"60 to 89 days 7","F","3,300","3,590","3,330","2,845","3,745","3,510","4,225","3,775","4,205","6,625","6,565","6,585","8,380","11,165","7,405","5,065","6,630","5,965","6,990","7,465","..","..","8,470","10,515","8,965","17,085","17,680","15,105"
,"90 days or more 7","F","6,700","6,625","6,420","5,875","6,785","7,220","8,180","7,795","9,730","9,740","10,390","13,860","11,975","13,150","14,325","14,840","14,655","13,370","11,495","30,080","..","..","29,095","27,405","27,835","52,050","58,665","55,825"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","4,620","..","..","5,145","3,870","4,800","9,340","9,465","9,000"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","25,460","..","..","23,950","23,530","23,035","42,715","49,195","46,825"
"Management occupations  [0]","Duration of job vacancy, all durations 6 7","F","3,015","4,340","3,285","3,370","3,030","4,015","3,360","3,770","4,375","4,200","3,660","4,245","4,630","4,975","5,200","5,880","5,225","5,935","4,685","5,035","..","..","4,385","5,000","5,185","6,645","6,115","6,940"
,"Less than 15 days 7","F","705","575","900","830","680","680","600","795","835","830","505","855","810","830","1,060","1,345","915","1,385","1,045","1,155","..","..","1,085","1,010","1,450","1,170","1,015","1,285"
,"15 to 29 days 7","F","720","1,120","560","785","660","910","700","690","1,205","920","845","1,090","985","975","935","1,265","1,015","975","675","1,175","..","..","940","1,160","1,085","1,125","1,070","1,195"
,"30 to 59 days 7","F","495","715","690","630","575","960","820","720","935","855","905","735","990","1,195","1,190","1,220","1,160","1,280","1,130","1,170","..","..","1,045","1,095","1,195","1,540","1,830","1,535"
,"60 to 89 days 7","F","330","450","265","250","375","340","295","340","435","505","440","495","700","520","420","605","600","660","580","300","..","..","415","460","460","780","685","1,060"
,"90 days or more 7","F","635","835","510","500","600","710","605","655","625","830","695","845","570","880","920","955","990","1,045","820","1,240","..","..","900","1,280","990","2,030","1,515","1,870"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","290","..","..","F","210","360","365","430","620"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","950","..","..","755","1,070","635","1,665","1,085","1,250"
"Business, finance and administration occupations  [1]","Duration of job vacancy, all durations 6 7","F","6,005","6,330","5,085","6,680","5,835","6,875","6,375","6,530","8,185","8,570","8,480","9,025","9,570","10,410","10,375","9,585","10,190","9,650","9,080","8,390","..","..","8,860","10,040","12,620","16,555","13,995","14,570"
,"Less than 15 days 7","F","2,590","2,325","1,605","2,165","2,265","2,240","2,055","2,035","2,600","2,655","2,585","2,455","2,925","3,030","2,800","2,490","3,115","3,120","3,315","2,865","..","..","2,675","3,345","5,345","3,710","2,595","4,230"
,"15 to 29 days 7","F","1,410","1,695","1,135","1,680","1,440","1,750","1,200","1,675","1,955","1,915","1,965","2,120","1,820","2,330","2,175","2,165","2,300","2,170","1,820","1,885","..","..","2,145","2,410","2,730","5,355","3,445","3,185"
,"30 to 59 days 7","F","900","1,090","835","1,045","910","1,065","1,635","1,195","1,645","1,755","2,025","1,815","2,300","1,855","2,300","1,980","2,050","1,800","1,825","1,600","..","..","1,710","2,070","2,670","3,260","3,355","2,810"
,"60 to 89 days 7","F","370","245","465","375","305","430","315","365","400","575","490","645","990","905","835","590","740","695","495","690","..","..","850","985","930","1,345","1,720","1,510"
,"90 days or more 7","F","320","450","540","740","480","810","640","760","1,080","1,055","900","1,175","1,060","1,760","1,575","1,715","1,405","1,270","1,095","1,350","..","..","1,475","1,225","945","2,885","2,880","2,840"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","270","..","..","405","290","330","440","915","940"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1,080","..","..","1,065","935","615","2,445","1,965","1,895"
"Natural and applied sciences and related occupations  [2]","Duration of job vacancy, all durations 6 7","F","4,040","4,240","3,755","3,800","4,180","3,860","3,315","4,165","4,485","4,275","3,910","4,885","5,200","5,945","6,245","7,370","6,800","6,450","5,490","6,965","..","..","5,910","6,965","8,630","8,180","9,910","10,320"
,"Less than 15 days 7","F","565","525","675","640","770","650","420","845","805","680","515","595","725","910","1,005","1,145","1,185","1,155","1,070","1,370","..","..","1,115","2,125","2,015","1,335","1,405","1,610"
,"15 to 29 days 7","F","985","700","700","935","1,085","830","880","940","970","750","1,035","1,060","1,100","1,305","1,175","1,315","1,145","1,300","935","1,425","..","..","1,265","1,620","1,770","1,580","1,845","2,440"
,"30 to 59 days 7","F","925","760","740","680","960","730","765","880","955","1,205","820","1,200","1,260","1,520","1,420","1,985","1,665","1,820","1,090","1,480","..","..","1,125","1,430","1,760","1,890","2,385","1,920"
,"60 to 89 days 7","F","250","335","235","380","170","480","295","165","265","380","410","395","390","720","690","555","685","610","710","990","..","..","695","595","975","1,310","1,505","1,125"
,"90 days or more 7","F","460","585","700","490","315","820","645","950","635","760","720","1,100","980","810","1,345","1,165","1,095","840","1,120","1,700","..","..","1,715","1,195","2,110","2,065","2,770","3,220"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","480","..","..","F","405","710","785","610","540"
