"Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0328-03"
"Release date: 2022-06-21"
"Geography: Canada, Province or territory"
""
""

,"Geography","Quebec",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Statistics","Job vacancies 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Occupational Classification 4","Job vacancy characteristics","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022"
,,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, all occupations 5","Duration of job vacancy, all durations 6 7","60,505","70,300","61,445","52,205","52,930","66,975","66,785","63,430","67,720","83,820","87,435","92,455","92,850","116,335","118,405","117,865","114,215","140,420","137,530","126,730","128,410","..","..","148,460","146,865","194,145","238,050","238,140","224,370"
,"Less than 15 days 7","16,905","22,810","18,785","16,295","15,540","21,015","19,530","18,605","18,480","22,420","20,875","19,675","20,160","25,655","22,925","20,335","19,930","25,910","21,565","21,895","27,055","..","..","23,695","29,640","38,565","25,380","24,765","33,005"
,"15 to 29 days 7","12,325","14,545","13,595","11,045","13,485","17,045","15,450","13,870","14,145","19,595","16,990","18,755","18,440","22,945","20,540","19,670","21,770","26,445","24,410","20,965","23,420","..","..","27,385","26,110","34,705","36,240","33,100","30,165"
,"30 to 59 days 7","10,145","11,165","10,240","7,965","8,375","10,325","11,845","11,055","12,335","16,775","16,625","16,100","14,965","20,060","19,985","21,775","18,615","26,755","22,180","20,160","20,720","..","..","29,765","25,685","38,870","45,410","42,645","34,290"
,"60 to 89 days 7","3,905","3,390","3,590","2,720","2,765","4,290","4,160","4,915","4,255","4,610","6,150","7,435","7,095","7,760","9,365","9,510","9,950","9,570","10,555","9,740","12,025","..","..","15,960","13,495","18,185","28,275","29,300","26,995"
,"90 days or more 7","6,370","6,840","4,730","6,145","4,705","6,045","6,430","6,280","8,515","9,140","10,665","11,860","13,660","15,690","17,050","17,555","16,905","19,190","22,870","18,760","45,195","..","..","51,655","51,935","63,820","102,745","108,330","99,910"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","6,235","..","..","9,595","6,990","10,750","15,215","15,335","13,785"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","38,960","..","..","42,060","44,945","53,070","87,530","92,995","86,125"
"Management occupations  [0]","Duration of job vacancy, all durations 6 7","3,980","3,205","3,320","3,250","3,290","3,885","4,955","4,405","4,520","3,890","4,250","4,730","4,800","4,010","4,915","5,000","5,190","5,510","5,940","5,735","5,400","..","..","5,480","5,780","7,050","8,955","8,485","9,020"
,"Less than 15 days 7","F","755","705","935","780","1,035","905","1,000","1,010","940","1,065","1,045","1,055","930","945","1,030","1,055","1,335","1,200","1,170","1,325","..","..","1,380","1,655","1,995","1,565","1,435","1,755"
,"15 to 29 days 7","F","740","715","995","720","1,075","1,290","975","945","950","900","1,130","1,100","805","835","870","1,170","1,050","1,100","1,315","1,155","..","..","1,165","1,330","1,500","1,745","1,355","1,670"
,"30 to 59 days 7","F","825","995","635","805","760","1,400","770","850","855","980","1,160","1,075","895","1,305","1,065","1,105","1,285","1,630","1,230","1,205","..","..","1,015","1,260","1,495","2,040","1,820","1,845"
,"60 to 89 days 7","F","385","270","210","390","435","495","1,005","440","350","510","465","540","460","515","585","545","625","640","630","530","..","..","750","575","775","1,255","1,040","1,015"
,"90 days or more 7","F","415","475","405","445","445","730","575","1,155","665","640","745","895","720","1,015","1,205","1,045","1,050","1,035","1,065","1,185","..","..","1,165","960","1,290","2,350","2,835","2,740"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","375","..","..","215","345","445","640","680","500"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","805","..","..","950","620","845","1,715","2,155","2,240"
"Business, finance and administration occupations  [1]","Duration of job vacancy, all durations 6 7","7,740","8,120","7,685","6,270","7,395","8,800","10,135","8,780","8,925","10,055","9,840","12,750","12,095","12,905","13,260","13,085","13,470","14,120","13,615","13,255","15,925","..","..","16,575","18,245","23,000","24,885","26,325","27,830"
,"Less than 15 days 7","2,225","2,845","2,640","1,945","2,345","3,040","3,590","3,210","2,605","3,080","2,945","3,235","3,395","4,140","3,820","3,685","3,220","3,510","3,125","4,390","4,495","..","..","3,750","4,905","6,775","4,565","4,535","5,970"
,"15 to 29 days 7","1,915","2,010","1,905","1,415","1,995","2,515","2,360","1,965","2,165","2,370","2,170","2,665","2,695","2,860","2,595","2,885","2,925","2,795","3,075","2,305","3,510","..","..","3,330","3,495","4,835","4,735","4,850","4,690"
,"30 to 59 days 7","F","1,425","1,420","1,415","1,470","1,515","1,995","1,765","1,685","1,895","1,660","2,335","2,045","2,490","2,610","2,685","2,825","3,530","3,055","2,630","2,970","..","..","3,900","3,750","5,110","5,670","6,145","5,170"
,"60 to 89 days 7","F","280","420","400","545","440","830","605","630","640","635","1,085","920","900","1,440","1,175","1,315","1,275","1,210","1,260","1,365","..","..","1,315","2,665","2,120","2,970","3,210","4,220"
,"90 days or more 7","F","605","705","710","695","690","910","860","1,175","1,845","1,530","1,935","2,100","1,750","1,840","1,815","2,115","2,320","2,270","1,680","3,585","..","..","4,285","3,430","4,160","6,940","7,580","7,780"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","760","..","..","865","800","1,070","1,190","1,370","1,305"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2,825","..","..","3,420","2,630","3,085","5,750","6,210","6,475"
"Natural and applied sciences and related occupations  [2]","Duration of job vacancy, all durations 6 7","6,300","5,955","5,460","5,075","5,680","5,985","6,595","6,455","6,290","7,745","8,830","9,650","10,060","11,730","11,510","12,000","13,445","12,240","11,635","12,690","13,920","..","..","12,070","15,335","16,590","19,800","19,605","20,940"
,"Less than 15 days 7","F","1,395","1,165","920","1,290","1,160","1,420","1,630","1,455","1,670","1,345","1,805","1,695","1,910","1,380","1,485","1,700","1,680","1,455","1,505","1,950","..","..","2,005","2,550","3,150","2,010","2,415","2,190"
,"15 to 29 days 7","F","1,690","1,220","1,285","1,635","1,695","1,465","1,385","1,270","1,625","1,430","1,245","1,995","2,070","1,760","2,040","2,390","2,270","1,925","1,760","2,840","..","..","2,205","2,980","2,875","2,960","2,850","2,885"
,"30 to 59 days 7","F","1,000","1,150","1,080","1,210","1,350","1,545","1,340","1,475","1,850","2,820","2,250","1,840","2,705","2,875","2,545","2,725","2,760","2,200","2,760","3,250","..","..","2,990","4,060","4,705","4,895","4,515","4,475"
