"Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0328-03"
"Release date: 2022-06-21"
"Geography: Canada, Province or territory"
""
""

,"Geography","Saskatchewan",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Statistics","Job vacancies 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Occupational Classification 4","Job vacancy characteristics","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022"
,,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, all occupations 5","Duration of job vacancy, all durations 6 7","14,230","15,480","11,850","10,745","9,415","9,860","9,245","8,435","8,465","11,270","10,075","9,385","9,340","11,350","10,775","8,855","8,900","11,450","11,125","10,430","11,625","..","..","10,530","12,090","16,990","20,325","19,830","20,245"
,"Less than 15 days 7","3,075","3,895","3,545","2,715","2,860","3,270","2,645","2,395","2,785","4,200","3,550","2,865","2,930","4,100","3,115","2,350","2,930","3,855","3,740","3,130","4,555","..","..","3,930","4,450","6,230","4,640","3,905","5,465"
,"15 to 29 days 7","2,920","2,760","2,720","2,350","1,720","2,060","1,985","2,045","1,635","2,485","2,085","1,585","1,385","2,360","2,355","1,905","1,405","2,390","1,895","1,730","2,075","..","..","1,935","2,215","3,880","4,190","3,995","3,985"
,"30 to 59 days 7","1,695","2,480","1,340","2,005","1,325","1,245","1,255","1,090","1,295","1,510","1,375","1,220","1,395","1,490","1,570","1,380","1,410","1,460","1,855","1,360","1,500","..","..","1,765","1,705","2,410","4,360","3,790","3,580"
,"60 to 89 days 7","F","700","610","660","370","570","495","465","365","475","470","575","495","760","730","730","570","790","560","695","700","..","..","690","1,090","1,360","1,955","1,830","1,395"
,"90 days or more 7","2,075","1,720","1,210","980","990","1,015","1,000","835","835","945","840","1,295","1,200","1,085","1,190","1,070","1,150","1,130","995","1,415","2,790","..","..","2,210","2,630","3,110","5,185","6,310","5,815"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","630","..","..","480","560","605","945","1,195","850"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2,160","..","..","1,730","2,075","2,505","4,240","5,115","4,965"
"Management occupations  [0]","Duration of job vacancy, all durations 6 7","F","790","700","655","660","660","580","645","550","630","540","610","505","620","620","530","565","625","670","625","x","..","..","x","835","x","x","x","x"
,"Less than 15 days 7","F","135","180","220","140","210","120","100","145","210","120","105","145","130","130","115","155","175","150","170","x","..","..","x","280","x","x","x","x"
,"15 to 29 days 7","F","110","170","F","150","140","215","F","70","140","155","105","125","130","180","130","100","105","160","120","x","..","..","x","115","x","x","x","x"
,"30 to 59 days 7","F","220","150","105","160","F","100","F","115","105","F","225","90","100","110","160","120","85","115","95","x","..","..","x","125","x","x","x","x"
,"60 to 89 days 7","F","65","30","70","45","F","40","F","90","F","F","45","65","80","35","65","65","30","35","F","x","..","..","x","65","x","x","x","x"
,"90 days or more 7","F","155","120","F","F","70","65","100","85","85","100","90","55","110","145","60","F","140","150","100","x","..","..","x","F","x","x","x","x"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","x","..","..","x","15","x","x","x","x"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","x","..","..","x","F","x","x","x","x"
"Business, finance and administration occupations  [1]","Duration of job vacancy, all durations 6 7","1,135","1,245","1,085","750","860","720","820","880","795","770","960","885","875","770","975","930","1,000","1,035","1,060","1,035","1,030","..","..","1,270","1,450","1,475","2,000","1,750","2,220"
,"Less than 15 days 7","265","400","465","285","305","295","300","335","470","335","465","315","285","320","320","285","405","340","640","350","525","..","..","555","630","565","465","500","650"
,"15 to 29 days 7","F","335","270","180","215","220","200","255","145","230","235","180","195","190","220","215","200","220","90","265","205","..","..","230","300","295","445","420","475"
,"30 to 59 days 7","F","285","100","140","195","105","140","130","65","125","115","105","125","85","165","230","240","260","160","190","135","..","..","315","200","330","680","355","450"
,"60 to 89 days 7","F","F","F","55","F","35","F","65","35","F","F","F","55","90","160","105","65","35","70","70","45","..","..","40","100","145","175","260","275"
,"90 days or more 7","F","F","85","F","45","25","F","40","65","35","F","185","150","F","65","80","75","80","60","100","115","..","..","135","225","140","230","220","370"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","65","75","F","95","F","F"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","150","95","135","130","235"
"Natural and applied sciences and related occupations  [2]","Duration of job vacancy, all durations 6 7","F","400","360","420","425","430","405","335","415","475","480","340","420","485","395","370","470","550","425","420","530","..","..","460","530","770","795","935","1,135"
,"Less than 15 days 7","F","100","95","95","200","205","75","70","80","F","105","80","120","110","80","75","100","160","95","135","125","..","..","155","220","220","140","165","245"
,"15 to 29 days 7","F","80","95","80","75","55","130","75","90","80","F","65","65","150","95","80","105","100","50","75","70","..","..","145","95","170","205","200","285"
,"30 to 59 days 7","F","F","60","F","60","75","100","50","80","90","65","55","70","65","80","105","80","95","110","75","165","..","..","60","65","190","190","180","175"
,"60 to 89 days 7","F","20","30","F","F","20","40","65","50","20","20","70","F","45","55","F","45","F","65","60","35","..","..","30","60","45","105","140","115"
,"90 days or more 7","F","50","65","55","30","50","45","60","55","25","45","25","80","50","F","F","105","80","55","55","135","..","..","65","85","145","160","255","315"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","25","10","45","35","65","80"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","70","..","..","45","75","F","125","F","235"
"Health occupations  [3]","Duration of job vacancy, all durations 6 7","F","1,020","570","590","660","565","490","480","465","490","530","480","635","705","605","575","565","635","745","730","725","..","..","940","1,045","890","1,435","1,915","1,535"
,"Less than 15 days 7","F","110","160","150","95","135","155","145","160","145","130","205","F","320","235","145","230","175","260","215","300","..","..","380","470","305","625","435","580"
,"15 to 29 days 7","F","70","75","55","70","F","65","95","110","60","120","F","F","110","50","100","60","130","105","125","80","..","..","85","110","170","205","315","310"
,"30 to 59 days 7","F","F","F","80","120","40","80","40","30","80","55","70","F","120","60","50","75","60","110","160","100","..","..","210","110","100","F","500","85"
,"60 to 89 days 7","F","120","60","70","65","F","45","F","35","F","F","20","F","30","F","45","30","85","105","60","45","..","..","F","F","95","65","F","150"
,"90 days or more 7","F","240","60","160","175","105","80","100","90","95","135","F","F","55","140","180","110","110","50","75","200","..","..","200","295","220","465","535","410"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","F","F","F","F","F","45"
