t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,21335,6075,,,,,,
2,2015,2,20520,6195,4775,3075,1165,1675,,
3,2015,3,19065,6405,5035,2900,845,1320,,
4,2015,4,18590,5355,4045,2585,1145,1400,,
5,2016,1,18555,5895,4185,2605,705,1535,,
6,2016,2,20910,6730,5170,3415,1275,1325,,
7,2016,3,21620,7665,5885,3190,980,1490,,
8,2016,4,20080,6240,4755,2710,1080,1585,,
9,2017,1,20655,5000,4690,2775,1075,2290,,
10,2017,2,25015,7095,6100,3925,1185,2055,,
11,2017,3,26915,7610,6220,4555,1025,2570,,
12,2017,4,26030,6970,5955,3740,1505,2785,,
13,2018,1,28230,6545,5335,4695,1560,2740,,
14,2018,2,32475,8825,5575,4940,1895,2750,,
15,2018,3,35190,8420,7490,6245,1510,3670,,
16,2018,4,33280,6635,6915,5720,1860,3945,,
17,2019,1,33620,6480,6680,5660,2730,3215,,
18,2019,2,35505,8845,7120,5225,2315,3280,,
19,2019,3,34260,8325,6950,4785,1835,3800,,
20,2019,4,33420,7060,5325,5705,2100,3985,,
21,2020,1,36040,8290,7470,6870,2495,10915,1505,9410
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,42300,10135,7285,8065,4505,12310,1590,10720
25,2021,1,44005,10215,8570,6985,3470,14765,1820,12945
26,2021,2,49300,13125,10295,8270,4035,13570,2360,11210
27,2021,3,50475,10640,10300,9325,4470,15745,2145,13600
28,2021,4,60095,10020,10040,12765,5510,21760,3660,18100
29,2022,1,66975,12220,10775,12385,6065,25525,3935,21590
