t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,24620,6370,5150,5260,,3765,,
2,2015,2,24100,5245,5070,5025,2640,3955,,
3,2015,3,23910,5195,6080,5365,2210,3510,,
4,2015,4,22055,5690,4500,4780,2265,3505,,
5,2016,1,24290,5525,6670,5110,2180,3375,,
6,2016,2,22740,5515,5460,4685,2320,3855,,
7,2016,3,26905,6000,6215,6735,2445,4045,,
8,2016,4,23675,4980,4950,5060,3200,3975,,
9,2017,1,23600,5285,4870,5230,2300,4600,,
10,2017,2,25285,5435,5745,6700,2530,3930,,
11,2017,3,24610,5535,5655,5890,2825,3590,,
12,2017,4,24835,5360,5635,6080,3140,3675,,
13,2018,1,26275,5330,5625,6400,3060,4915,,
14,2018,2,25070,5415,5555,6160,3185,3565,,
15,2018,3,28065,5745,6000,6845,2820,4875,,
16,2018,4,28570,5955,5590,6575,3200,5575,,
17,2019,1,28315,6095,6370,6460,2995,4955,,
18,2019,2,29035,6325,5930,6975,3215,5115,,
19,2019,3,29460,6375,5620,6670,3570,5510,,
20,2019,4,27305,6390,5105,6355,3270,4765,,
21,2020,1,28985,7595,5960,6655,3025,5750,1700,4050
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,25425,6775,5445,5580,2840,4790,1125,3665
25,2021,1,29555,7615,6680,6420,2920,5915,1515,4395
26,2021,2,33625,9795,7405,7370,3465,5590,1740,3850
27,2021,3,38840,7065,8160,9685,5020,8910,2570,6340
28,2021,4,39750,7680,7935,9635,4980,9515,2445,7070
29,2022,1,41645,9150,8100,9265,5275,9855,2660,7195
