t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,19970,,,,,,,
2,2015,2,20695,5990,5040,2650,1000,1860,,
3,2015,3,18820,5040,4280,2535,745,1140,,
4,2015,4,17575,4310,4020,2215,675,1585,,
5,2016,1,13910,4140,2540,1815,710,670,,
6,2016,2,18620,6535,3975,3025,670,815,,
7,2016,3,20810,5900,5345,3120,680,980,,
8,2016,4,17860,3330,4295,2975,815,1285,,
9,2017,1,20650,4610,5050,2535,1100,2170,,
10,2017,2,23690,5240,4435,3930,1130,2365,,
11,2017,3,26400,4770,5490,4480,1765,2125,,
12,2017,4,24960,3980,4205,4275,1775,2560,,
13,2018,1,25450,5265,4545,3895,1265,2445,,
14,2018,2,29970,5880,4995,5085,1685,2590,,
15,2018,3,30120,4520,4630,5005,2200,3055,,
16,2018,4,29370,4225,4090,4470,2335,3625,,
17,2019,1,26415,4005,4580,3500,1715,3015,,
18,2019,2,30155,4605,5320,6125,1650,2855,,
19,2019,3,30640,4685,5960,4865,1360,2705,,
20,2019,4,25655,3305,4330,3575,1135,2380,,
21,2020,1,24295,6235,3875,3315,1905,8965,825,8145
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,32920,6455,6165,5520,3635,11145,1285,9860
25,2021,1,34060,6230,6415,5830,3095,12495,835,11665
26,2021,2,43095,8865,8255,7645,3545,14785,2335,12450
27,2021,3,53625,5855,8255,9690,6690,23135,3585,19550
28,2021,4,53145,4845,6660,8070,6220,27355,3055,24300
29,2022,1,51830,6740,7515,7935,5090,24550,3200,21350
