"Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0328-03"
"Release date: 2022-06-21"
"Geography: Canada, Province or territory"
""
""

,"Geography","Manitoba",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Statistics","Job vacancies 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Occupational Classification 4","Job vacancy characteristics","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022"
,,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, all occupations 5","Duration of job vacancy, all durations 6 7","14,210","14,455","13,150","10,990","10,495","11,625","11,260","11,210","10,585","14,835","13,850","14,080","13,355","15,910","15,270","15,230","13,960","15,565","15,960","15,295","16,995","..","..","18,200","17,505","21,830","24,330","25,765","27,520"
,"Less than 15 days 7","4,650","4,990","4,385","3,015","3,535","3,680","4,135","3,850","3,270","4,420","3,785","3,190","3,045","4,325","3,555","4,035","2,830","5,060","4,590","3,450","4,765","..","..","4,935","5,100","6,825","5,515","4,900","5,400"
,"15 to 29 days 7","F","2,675","2,470","2,105","1,890","2,665","2,550","2,275","2,570","2,685","2,155","2,385","2,040","2,900","2,605","2,460","2,215","2,970","2,595","2,850","2,765","..","..","3,250","3,200","4,665","6,070","4,315","4,815"
,"30 to 59 days 7","F","1,735","1,765","1,550","1,330","1,935","1,430","1,350","1,365","1,775","1,940","1,895","1,785","2,110","2,210","2,620","2,135","2,100","2,210","2,225","3,225","..","..","3,025","2,710","3,955","5,025","4,535","5,085"
,"60 to 89 days 7","F","545","660","305","660","605","600","1,020","315","675","475","1,275","910","1,350","1,055","1,080","1,035","1,105","1,230","1,505","1,225","..","..","2,050","1,415","1,700","1,735","3,055","3,050"
,"90 days or more 7","F","1,390","975","895","690","585","585","845","1,140","2,655","2,685","3,145","3,430","2,710","2,710","2,485","2,975","1,615","2,825","2,730","5,015","..","..","4,940","5,080","4,690","5,985","8,965","9,170"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1,865","..","..","670","1,125","730","1,100","2,155","1,425"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3,150","..","..","4,270","3,955","3,960","4,880","6,810","7,745"
"Management occupations  [0]","Duration of job vacancy, all durations 6 7","F","730","745","650","635","555","585","570","570","690","725","685","630","585","675","720","580","520","665","540","595","..","..","540","795","915","740","790","785"
,"Less than 15 days 7","F","245","285","170","150","185","200","180","105","170","175","130","145","145","135","185","125","115","150","110","205","..","..","145","230","310","150","145","195"
,"15 to 29 days 7","F","170","115","95","165","105","135","70","210","145","140","140","180","125","235","185","140","125","185","105","115","..","..","120","200","195","200","195","145"
,"30 to 59 days 7","F","145","135","215","75","95","90","125","115","130","F","105","110","155","125","140","130","105","145","90","85","..","..","165","100","155","170","200","195"
,"60 to 89 days 7","F","25","65","55","F","F","F","80","25","65","50","F","45","75","65","50","55","50","55","110","55","..","..","30","F","75","60","85","75"
,"90 days or more 7","F","115","105","95","80","80","75","110","95","165","125","115","140","55","70","135","95","110","110","105","135","..","..","80","190","180","160","165","175"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","25","..","..","20","25","F","25","25","50"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","110","..","..","55","165","150","F","140","125"
"Business, finance and administration occupations  [1]","Duration of job vacancy, all durations 6 7","1,265","1,380","1,125","1,020","1,005","1,190","1,340","1,230","1,120","1,320","1,500","1,405","1,490","1,645","1,535","1,385","1,405","1,525","1,350","1,610","1,615","..","..","2,010","1,740","2,000","2,420","2,725","3,005"
,"Less than 15 days 7","F","560","410","345","345","360","435","425","495","495","555","405","450","570","585","375","450","505","410","460","685","..","..","635","615","995","700","690","840"
,"15 to 29 days 7","F","405","205","265","230","380","425","370","270","255","235","185","280","435","290","375","250","435","320","505","295","..","..","385","410","330","735","525","525"
,"30 to 59 days 7","F","135","150","220","225","230","290","255","180","200","205","265","285","255","225","320","315","220","235","315","310","..","..","505","340","370","450","520","720"
,"60 to 89 days 7","F","60","F","30","70","F","80","35","55","F","80","180","135","85","125","115","80","140","125","155","120","..","..","F","120","155","130","450","300"
,"90 days or more 7","F","150","F","50","75","60","60","115","50","255","260","320","315","220","250","165","280","95","200","145","210","..","..","245","255","150","405","540","615"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","35","..","..","F","F","50","140","170","225"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","170","..","..","190","185","100","265","370","390"
"Natural and applied sciences and related occupations  [2]","Duration of job vacancy, all durations 6 7","F","580","430","390","695","440","530","370","570","395","495","490","630","780","620","825","750","700","500","620","705","..","..","935","915","860","850","990","900"
,"Less than 15 days 7","F","F","95","50","F","130","115","100","95","60","60","65","115","285","160","115","90","135","105","125","140","..","..","185","130","265","120","125","200"
,"15 to 29 days 7","F","155","105","95","95","120","100","110","190","105","140","75","135","140","155","125","100","135","90","85","150","..","..","275","240","260","195","250","115"
,"30 to 59 days 7","F","75","105","50","110","80","110","55","130","115","135","100","120","135","115","345","230","185","100","125","210","..","..","150","F","165","240","165","185"
,"60 to 89 days 7","F","F","20","25","45","25","F","30","35","40","25","140","F","90","50","70","95","50","55","125","80","..","..","50","55","45","110","115","130"
,"90 days or more 7","F","120","55","50","35","35","55","55","80","F","F","60","130","75","100","130","165","135","135","130","125","..","..","275","295","120","190","330","265"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","F","..","..","25","F","F","60","85","90"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","90","..","..","F","215","F","130","240","175"
"Health occupations  [3]","Duration of job vacancy, all durations 6 7","F","1,470","1,510","1,565","1,345","1,205","720","1,000","975","2,415","2,180","2,975","2,510","2,560","2,430","2,610","2,210","2,140","2,885","2,820","3,400","..","..","4,205","3,025","3,725","3,420","3,540","4,400"
,"Less than 15 days 7","F","F","F","260","F","205","180","225","240","250","F","295","120","225","135","220","115","320","450","170","F","..","..","F","F","F","F","F","F"
,"15 to 29 days 7","F","65","F","165","F","210","F","180","85","250","75","340","140","140","115","205","85","F","345","320","F","..","..","F","F","F","F","F","F"
,"30 to 59 days 7","F","95","F","F","250","160","95","90","80","235","F","410","110","270","205","505","405","380","510","545","F","..","..","F","265","F","F","F","535"
,"60 to 89 days 7","F","F","20","45","50","F","25","F","30","260","40","295","250","365","300","350","255","510","250","530","F","..","..","F","F","F","F","F","955"
