"Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0328-03"
"Release date: 2022-06-21"
"Geography: Canada, Province or territory"
""
""

,"Geography","Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Statistics","Job vacancies 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Occupational Classification 4","Job vacancy characteristics","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022"
,,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, all occupations 5","Duration of job vacancy, all durations 6 7","153,365","178,395","155,810","151,555","138,450","165,460","173,500","162,445","171,060","185,690","184,595","190,440","180,860","205,800","207,010","217,310","193,290","213,225","205,935","191,030","187,360","..","..","210,215","196,385","264,530","338,835","348,260","336,760"
,"Less than 15 days 7","46,985","51,550","50,055","40,810","43,740","47,735","47,190","39,280","42,830","47,330","45,355","46,245","41,550","51,770","46,880","44,780","45,740","49,450","47,775","42,620","57,545","..","..","61,175","56,670","72,225","66,570","56,025","72,390"
,"15 to 29 days 7","33,360","44,825","36,335","35,245","30,505","37,125","37,765","36,440","40,505","39,355","38,760","42,730","33,900","41,865","41,900","46,105","35,650","43,800","41,025","39,295","37,035","..","..","45,220","41,320","58,780","71,500","60,830","59,770"
,"30 to 59 days 7","29,080","28,095","23,290","25,325","22,655","25,650","28,565","30,420","26,495","32,605","31,305","31,150","32,630","35,725","37,210","39,910","32,920","36,095","34,205","33,530","32,475","..","..","40,495","34,655","49,430","72,265","70,235","63,475"
,"60 to 89 days 7","F","9,660","8,605","10,450","6,975","9,415","10,660","9,955","11,790","11,890","12,085","13,515","12,375","14,690","14,135","16,685","13,050","14,665","13,030","13,265","15,600","..","..","18,995","18,130","27,070","35,640","39,635","32,455"
,"90 days or more 7","12,380","13,270","10,505","11,420","11,785","16,435","14,235","15,110","19,200","20,980","19,045","16,770","21,500","21,425","22,045","23,840","23,820","25,950","22,150","21,950","44,710","..","..","44,330","45,610","57,015","92,860","121,535","108,670"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","7,030","..","..","7,995","7,690","11,380","18,535","22,895","17,490"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","37,680","..","..","36,335","37,915","45,640","74,325","98,640","91,180"
"Management occupations  [0]","Duration of job vacancy, all durations 6 7","9,480","10,325","10,600","10,380","12,710","11,030","13,360","11,255","11,160","11,880","11,290","11,895","12,330","11,280","12,775","12,695","11,765","12,780","12,275","12,235","13,455","..","..","11,310","13,100","14,960","17,235","17,775","18,295"
,"Less than 15 days 7","2,850","2,375","2,460","2,490","2,690","2,485","3,105","2,205","2,275","2,205","2,575","2,710","2,315","2,500","2,725","2,565","2,415","2,580","2,500","2,965","3,690","..","..","3,060","3,175","4,150","3,000","3,540","4,190"
,"15 to 29 days 7","F","2,345","2,885","1,940","4,140","2,800","2,955","2,380","2,515","2,490","2,655","2,580","2,320","2,520","2,835","2,530","2,660","2,725","2,380","2,295","2,540","..","..","2,385","3,005","3,395","3,895","3,920","3,735"
,"30 to 59 days 7","F","2,335","2,515","2,295","2,670","2,285","3,510","2,470","2,775","3,595","2,860","2,890","3,390","3,015","3,285","3,160","2,885","3,410","2,735","3,035","3,150","..","..","2,650","3,025","3,310","4,720","4,290","4,185"
,"60 to 89 days 7","F","1,240","960","1,390","1,055","1,195","1,275","1,440","1,165","1,390","1,310","1,760","1,535","1,455","1,390","1,545","1,390","1,540","1,740","1,510","1,695","..","..","1,320","1,400","1,645","2,305","2,330","2,610"
,"90 days or more 7","F","1,640","1,320","1,660","1,590","1,955","1,975","2,045","2,000","1,875","1,425","1,635","2,365","1,605","2,130","2,515","2,080","2,135","2,410","2,020","2,380","..","..","1,895","2,490","2,460","3,315","3,695","3,580"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","795","..","..","535","785","720","1,235","995","1,175"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1,585","..","..","1,355","1,705","1,740","2,085","2,700","2,405"
"Business, finance and administration occupations  [1]","Duration of job vacancy, all durations 6 7","17,795","20,710","17,440","17,000","18,225","18,725","23,785","19,555","24,295","22,045","22,785","23,435","25,135","23,350","24,345","26,520","24,500","24,870","23,785","23,210","26,520","..","..","24,460","24,290","29,350","35,515","37,460","41,435"
,"Less than 15 days 7","6,565","6,355","6,370","5,765","6,110","6,290","5,815","6,020","7,320","6,330","6,960","6,765","6,575","7,005","6,755","7,370","6,570","7,270","6,320","7,455","9,260","..","..","7,515","8,785","10,375","9,740","9,025","12,375"
,"15 to 29 days 7","4,620","5,595","4,780","5,065","5,070","4,520","4,990","4,455","7,540","5,645","5,570","6,190","5,420","6,245","5,585","6,045","5,985","5,895","5,705","5,350","6,180","..","..","6,275","5,490","7,035","8,710","8,660","9,190"
,"30 to 59 days 7","F","3,685","2,530","3,145","3,425","3,245","4,380","4,355","3,800","4,130","4,705","4,285","5,605","5,375","5,120","5,950","5,100","5,025","5,260","4,575","4,500","..","..","5,320","4,525","5,690","7,870","9,525","9,125"
,"60 to 89 days 7","F","1,015","1,065","1,140","1,330","1,495","2,000","1,215","1,860","1,795","2,085","2,120","2,325","1,850","2,565","3,085","1,670","1,935","1,990","1,650","2,335","..","..","1,750","2,315","3,105","4,180","4,310","3,915"
,"90 days or more 7","F","800","1,070","985","1,465","1,805","1,815","2,630","2,680","3,150","1,955","3,035","3,870","2,145","2,250","2,780","3,320","3,585","2,950","2,875","4,245","..","..","3,600","3,175","3,145","5,015","5,945","6,835"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1,155","..","..","920","830","1,220","1,445","1,880","1,725"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3,090","..","..","2,680","2,345","1,925","3,570","4,065","5,110"
"Natural and applied sciences and related occupations  [2]","Duration of job vacancy, all durations 6 7","10,965","14,520","10,925","10,955","10,665","12,165","13,710","11,280","12,325","13,860","14,075","13,250","14,805","16,785","16,060","16,565","16,110","16,655","14,735","15,530","16,930","..","..","15,925","18,655","21,575","24,615","28,235","28,325"
,"Less than 15 days 7","F","2,705","3,000","2,045","2,045","2,845","2,835","2,605","2,375","2,445","2,265","2,445","2,575","3,135","2,710","2,780","2,515","3,250","2,940","2,695","3,635","..","..","3,615","4,500","4,655","3,480","4,315","5,640"
,"15 to 29 days 7","F","3,085","1,995","2,275","2,165","3,025","3,145","2,255","2,345","3,335","3,045","2,560","3,110","3,500","2,890","3,300","3,365","3,080","3,300","3,130","3,595","..","..","3,490","4,480","5,300","5,120","5,620","5,520"
