"Job vacancies, proportion of job vacancies and average offered hourly wage by occupation and duration of job vacancy, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0328-03"
"Release date: 2022-06-21"
"Geography: Canada, Province or territory"
""
""

,"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Statistics","Job vacancies 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Occupational Classification 4","Job vacancy characteristics","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022"
,,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, all occupations 5","Duration of job vacancy, all durations 6 7","408,125","451,925","407,865","358,755","330,215","391,190","404,860","381,010","387,080","459,685","467,395","469,360","461,845","546,820","550,670","547,330","506,140","581,595","562,910","508,590","512,760","..","..","560,215","553,480","731,905","912,580","915,545","890,385"
,"Less than 15 days 7","113,260","126,345","121,925","96,690","98,600","113,035","111,330","99,275","100,235","123,895","115,040","105,970","105,460","131,070","118,755","109,860","107,765","133,425","121,170","107,615","141,330","..","..","142,440","148,945","200,195","160,135","135,850","173,840"
,"15 to 29 days 7","83,630","102,280","87,780","75,190","71,795","87,695","89,330","80,880","82,725","99,145","94,575","96,565","85,690","106,870","106,225","101,830","92,120","112,230","105,905","92,770","96,630","..","..","109,620","109,325","152,400","178,810","151,660","149,430"
,"30 to 59 days 7","64,160","68,450","58,290","57,310","48,650","59,525","64,380","64,735","62,370","76,490","81,310","81,620","77,730","93,545","92,915","98,895","84,130","96,610","90,105","82,760","85,765","..","..","107,585","95,515","139,565","184,600","178,815","156,055"
,"60 to 89 days 7","25,115","22,310","21,275","21,110","16,660","21,595","23,200","24,525","24,125","25,875","29,830","33,075","31,165","37,965","41,265","40,675","34,600","37,345","35,695","36,390","42,750","..","..","51,560","50,095","64,030","97,440","105,960","90,075"
,"90 days or more 7","39,830","39,165","31,790","31,200","29,350","37,780","35,870","37,425","44,190","51,040","50,170","50,235","61,075","61,300","64,560","68,900","69,105","72,430","71,220","64,505","146,285","..","..","149,010","149,600","175,715","291,595","343,260","320,985"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","23,220","..","..","26,115","22,655","31,525","51,310","58,010","51,250"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","123,070","..","..","122,895","126,945","144,185","240,290","285,250","269,740"
"Management occupations  [0]","Duration of job vacancy, all durations 6 7","24,620","24,100","23,910","22,055","24,290","22,740","26,905","23,675","23,600","25,285","24,610","24,835","26,275","25,070","28,065","28,570","28,315","29,035","29,460","27,305","28,985","..","..","25,425","29,555","33,625","38,840","39,750","41,645"
,"Less than 15 days 7","6,370","5,245","5,195","5,690","5,525","5,515","6,000","4,980","5,285","5,435","5,535","5,360","5,330","5,415","5,745","5,955","6,095","6,325","6,375","6,390","7,595","..","..","6,775","7,615","9,795","7,065","7,680","9,150"
,"15 to 29 days 7","5,150","5,070","6,080","4,500","6,670","5,460","6,215","4,950","4,870","5,745","5,655","5,635","5,625","5,555","6,000","5,590","6,370","5,930","5,620","5,105","5,960","..","..","5,445","6,680","7,405","8,160","7,935","8,100"
,"30 to 59 days 7","5,260","5,025","5,365","4,780","5,110","4,685","6,735","5,060","5,230","6,700","5,890","6,080","6,400","6,160","6,845","6,575","6,460","6,975","6,670","6,355","6,655","..","..","5,580","6,420","7,370","9,685","9,635","9,265"
,"60 to 89 days 7","F","2,640","2,210","2,265","2,180","2,320","2,445","3,200","2,300","2,530","2,825","3,140","3,060","3,185","2,820","3,200","2,995","3,215","3,570","3,270","3,025","..","..","2,840","2,920","3,465","5,020","4,980","5,275"
,"90 days or more 7","3,765","3,955","3,510","3,505","3,375","3,855","4,045","3,975","4,600","3,930","3,590","3,675","4,915","3,565","4,875","5,575","4,955","5,115","5,510","4,765","5,750","..","..","4,790","5,915","5,590","8,910","9,515","9,855"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1,700","..","..","1,125","1,515","1,740","2,570","2,445","2,660"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","4,050","..","..","3,665","4,395","3,850","6,340","7,070","7,195"
"Business, finance and administration occupations  [1]","Duration of job vacancy, all durations 6 7","42,955","44,895","40,205","35,355","39,385","39,605","48,870","42,455","47,540","49,230","50,715","53,930","56,550","55,880","58,105","60,520","58,725","60,705","57,925","55,820","61,535","..","..","60,870","64,155","79,360","92,525","94,215","102,715"
,"Less than 15 days 7","14,985","15,645","15,090","12,055","13,390","13,920","14,530","14,170","15,385","15,965","16,155","15,740","15,850","17,750","16,915","17,350","15,950","18,005","16,365","18,430","20,935","..","..","18,215","22,060","28,715","22,755","20,695","28,425"
,"15 to 29 days 7","11,070","11,350","10,170","9,355","10,320","10,040","11,200","9,300","12,865","12,015","11,670","12,490","12,370","13,550","13,110","13,390","13,775","13,755","13,270","12,000","13,900","..","..","13,930","13,870","17,785","23,050","20,970","20,815"
,"30 to 59 days 7","8,345","8,115","6,350","6,640","7,290","6,725","8,780","9,225","7,810","8,925","9,880","10,590","11,400","11,885","11,525","13,415","12,075","12,695","12,265","10,855","10,900","..","..","13,115","12,250","16,410","20,275","23,040","21,395"
,"60 to 89 days 7","2,310","2,265","2,235","2,420","2,680","2,680","3,855","2,680","3,395","3,320","3,800","4,310","4,605","4,520","5,775","5,945","4,345","4,640","4,520","4,275","5,190","..","..","4,630","6,875","7,080","9,625","11,005","11,385"
,"90 days or more 7","F","2,325","2,930","2,730","3,440","3,460","4,255","4,725","5,490","7,050","5,615","7,345","8,925","5,965","6,815","7,220","8,595","8,510","7,860","6,900","10,610","..","..","10,980","9,100","9,375","16,820","18,505","20,695"
,"90 to 119 days 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2,550","..","..","2,525","2,355","3,050","3,625","4,805","4,810"
,"120 days or more 7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","8,060","..","..","8,455","6,740","6,320","13,195","13,705","15,885"
"Natural and applied sciences and related occupations  [2]","Duration of job vacancy, all durations 6 7","26,955","30,190","24,570","23,110","24,100","25,800","27,845","24,390","26,835","30,870","31,490","30,945","34,915","39,550","39,390","40,625","44,370","43,280","38,720","39,970","44,670","..","..","39,465","48,205","54,245","61,075","66,490","69,600"
,"Less than 15 days 7","5,320","5,725","5,640","4,265","5,230","5,840","5,895","5,650","5,635","6,390","5,270","5,650","6,685","7,230","6,370","6,395","6,895","7,765","6,735","6,590","8,770","..","..","8,225","11,550","12,040","8,565","10,010","11,635"
