"Job vacancies, payroll employees, job vacancy rate, and average offered hourly wage by provinces and territories, quarterly, unadjusted for seasonality 1 2"
"Frequency: Quarterly"
"Table: 14-10-0325-01 (formerly CANSIM 285-0001)"
"Release date: 2022-06-21"
"Geography: Canada, Province or territory, Economic region"
""
""

"Geography 3","Statistics","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022"
"Canada",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 4","408,125","451,925","407,865","358,755","330,215","391,190","404,860","381,010","387,080","459,685","467,395","469,360","461,845","546,820","550,670","547,330","506,140","581,595","562,910","508,590","512,760","..","..","560,215","553,480","731,905","912,580","915,545","890,385"
,"Payroll employees 5","14,908,280","14,977,525","15,219,630","15,325,270","15,013,275","15,068,895","15,347,360","15,492,870","15,234,465","15,299,365","15,668,410","15,807,115","15,517,505","15,646,855","15,952,150","16,166,125","15,937,240","16,031,330","16,336,815","16,476,500","16,158,335","..","..","15,359,070","15,036,085","15,310,115","15,858,865","16,309,075","16,169,160"
,,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 6","2.7","2.9","2.6","2.3","2.2","2.5","2.6","2.4","2.5","2.9","2.9","2.9","2.9","3.4","3.3","3.3","3.1","3.5","3.3","3.0","3.1","..","..","3.5","3.6","4.6","5.4","5.3","5.2"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 7","19.15","18.75","18.55","18.90","19.80","19.35","19.75","19.60","20.45","19.50","19.90","20.10","21.05","20.65","20.95","21.15","21.80","21.30","21.25","21.75","22.60","..","..","22.50","23.60","22.85","22.55","22.95","24.20"
"Newfoundland and Labrador",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 4","F","5,250","5,380","4,400","3,385","3,930","4,035","3,165","3,035","4,035","3,525","3,365","2,900","4,450","3,925","4,225","3,255","4,950","4,725","4,695","4,335","..","..","5,050","3,740","7,005","7,115","7,335","6,390"
,"Payroll employees 5","194,260","199,790","217,485","205,130","192,985","198,270","213,610","207,490","194,220","195,605","210,415","203,195","188,065","189,935","205,620","200,160","188,760","193,195","208,235","202,785","188,910","..","..","188,540","181,495","186,690","202,420","196,130","186,550"
