t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,76935,17075,,8605,,,,
2,2015,2,72345,15355,14800,11285,3705,7170,,
3,2015,3,64480,17525,11665,7850,2965,5675,,
4,2015,4,50835,13370,9760,7325,2430,3315,,
5,2016,1,39150,11720,6990,4505,2180,3785,,
6,2016,2,42365,12155,8255,4660,1965,4415,,
7,2016,3,44135,12835,8975,5845,2595,4300,,
8,2016,4,42435,12825,7545,6230,2645,4255,,
9,2017,1,42625,12440,7635,6765,2555,4170,,
10,2017,2,50920,17110,9800,7365,2315,3885,,
11,2017,3,53635,14935,11500,9730,2570,3990,,
12,2017,4,51265,14035,10980,9375,2265,4000,,
13,2018,1,50685,14560,10200,8210,2510,4480,,
14,2018,2,59830,17590,12860,9605,3175,5290,,
15,2018,3,58745,16415,13285,9400,2965,5195,,
16,2018,4,55030,12665,9540,10915,3750,5690,,
17,2019,1,49755,12740,10290,8715,3640,5920,,
18,2019,2,59930,17815,11850,8865,3040,6485,,
19,2019,3,52890,13970,11285,8250,2760,5345,,
20,2019,4,45465,11705,9160,7860,2530,4615,,
21,2020,1,48350,15615,10460,8040,3795,10445,1800,8645
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,44700,18725,8620,6990,3265,7100,865,6235
25,2021,1,50390,19950,10670,8690,3330,7750,1505,6245
26,2021,2,69050,24945,17105,13825,3665,9510,1670,7845
27,2021,3,86385,22825,20870,17360,7980,17350,3945,13405
28,2021,4,85925,18815,17660,19120,9020,21310,4655,16655
29,2022,1,88165,22690,18380,15660,6870,24565,6235,18330
