t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,68020,,,,,,,
2,2015,2,69820,18345,15485,10130,3300,6700,,
3,2015,3,72950,18695,15015,10490,3590,6625,,
4,2015,4,59970,14760,10570,9610,3330,6420,,
5,2016,1,61505,16280,13510,8095,2845,5875,,
6,2016,2,72155,18295,15640,12665,3745,6785,,
7,2016,3,77010,18055,18380,11890,3510,7220,,
8,2016,4,72840,16425,14755,11720,4225,8180,,
9,2017,1,68190,15805,12860,11630,3775,7795,,
10,2017,2,85795,20050,19875,12780,4205,9730,,
11,2017,3,92645,19715,18655,16800,6625,9740,,
12,2017,4,88470,14290,16175,18075,6565,10390,,
13,2018,1,92625,17550,16085,14975,6585,13860,,
14,2018,2,105745,18655,18105,19940,8380,11975,,
15,2018,3,110565,18610,19695,18015,11165,13150,,
16,2018,4,104515,19490,17030,18085,7405,14325,,
17,2019,1,101945,18555,16515,16855,5065,14840,,
18,2019,2,108115,22065,18760,16615,6630,14655,,
19,2019,3,106260,21555,19190,16945,5965,13370,,
20,2019,4,90140,17555,13920,14105,6990,11495,,
21,2020,1,93125,23720,16250,15610,7465,30080,4620,25460
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,93835,20705,16515,19050,8470,29095,5145,23950
25,2021,1,100365,24220,19925,18305,10515,27405,3870,23530
26,2021,2,122260,37790,23990,23685,8965,27835,4800,23035
27,2021,3,157575,26815,30055,31565,17085,52050,9340,42715
28,2021,4,148875,19595,23255,29680,17680,58665,9465,49195
29,2022,1,149190,26680,25215,26370,15105,55825,9000,46825
