t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,14210,4650,,,,,,
2,2015,2,14455,4990,2675,1735,545,1390,,
3,2015,3,13150,4385,2470,1765,660,975,,
4,2015,4,10990,3015,2105,1550,305,895,,
5,2016,1,10495,3535,1890,1330,660,690,,
6,2016,2,11625,3680,2665,1935,605,585,,
7,2016,3,11260,4135,2550,1430,600,585,,
8,2016,4,11210,3850,2275,1350,1020,845,,
9,2017,1,10585,3270,2570,1365,315,1140,,
10,2017,2,14835,4420,2685,1775,675,2655,,
11,2017,3,13850,3785,2155,1940,475,2685,,
12,2017,4,14080,3190,2385,1895,1275,3145,,
13,2018,1,13355,3045,2040,1785,910,3430,,
14,2018,2,15910,4325,2900,2110,1350,2710,,
15,2018,3,15270,3555,2605,2210,1055,2710,,
16,2018,4,15230,4035,2460,2620,1080,2485,,
17,2019,1,13960,2830,2215,2135,1035,2975,,
18,2019,2,15565,5060,2970,2100,1105,1615,,
19,2019,3,15960,4590,2595,2210,1230,2825,,
20,2019,4,15295,3450,2850,2225,1505,2730,,
21,2020,1,16995,4765,2765,3225,1225,5015,1865,3150
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,18200,4935,3250,3025,2050,4940,670,4270
25,2021,1,17505,5100,3200,2710,1415,5080,1125,3955
26,2021,2,21830,6825,4665,3955,1700,4690,730,3960
27,2021,3,24330,5515,6070,5025,1735,5985,1100,4880
28,2021,4,25765,4900,4315,4535,3055,8965,2155,6810
29,2022,1,27520,5400,4815,5085,3050,9170,1425,7745
