t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,153365,46985,33360,29080,,12380,,
2,2015,2,178395,51550,44825,28095,9660,13270,,
3,2015,3,155810,50055,36335,23290,8605,10505,,
4,2015,4,151555,40810,35245,25325,10450,11420,,
5,2016,1,138450,43740,30505,22655,6975,11785,,
6,2016,2,165460,47735,37125,25650,9415,16435,,
7,2016,3,173500,47190,37765,28565,10660,14235,,
8,2016,4,162445,39280,36440,30420,9955,15110,,
9,2017,1,171060,42830,40505,26495,11790,19200,,
10,2017,2,185690,47330,39355,32605,11890,20980,,
11,2017,3,184595,45355,38760,31305,12085,19045,,
12,2017,4,190440,46245,42730,31150,13515,16770,,
13,2018,1,180860,41550,33900,32630,12375,21500,,
14,2018,2,205800,51770,41865,35725,14690,21425,,
15,2018,3,207010,46880,41900,37210,14135,22045,,
16,2018,4,217310,44780,46105,39910,16685,23840,,
17,2019,1,193290,45740,35650,32920,13050,23820,,
18,2019,2,213225,49450,43800,36095,14665,25950,,
19,2019,3,205935,47775,41025,34205,13030,22150,,
20,2019,4,191030,42620,39295,33530,13265,21950,,
21,2020,1,187360,57545,37035,32475,15600,44710,7030,37680
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,210215,61175,45220,40495,18995,44330,7995,36335
25,2021,1,196385,56670,41320,34655,18130,45610,7690,37915
26,2021,2,264530,72225,58780,49430,27070,57015,11380,45640
27,2021,3,338835,66570,71500,72265,35640,92860,18535,74325
28,2021,4,348260,56025,60830,70235,39635,121535,22895,98640
29,2022,1,336760,72390,59770,63475,32455,108670,17490,91180
