t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,60505,16905,12325,10145,3905,6370,,
2,2015,2,70300,22810,14545,11165,3390,6840,,
3,2015,3,61445,18785,13595,10240,3590,4730,,
4,2015,4,52205,16295,11045,7965,2720,6145,,
5,2016,1,52930,15540,13485,8375,2765,4705,,
6,2016,2,66975,21015,17045,10325,4290,6045,,
7,2016,3,66785,19530,15450,11845,4160,6430,,
8,2016,4,63430,18605,13870,11055,4915,6280,,
9,2017,1,67720,18480,14145,12335,4255,8515,,
10,2017,2,83820,22420,19595,16775,4610,9140,,
11,2017,3,87435,20875,16990,16625,6150,10665,,
12,2017,4,92455,19675,18755,16100,7435,11860,,
13,2018,1,92850,20160,18440,14965,7095,13660,,
14,2018,2,116335,25655,22945,20060,7760,15690,,
15,2018,3,118405,22925,20540,19985,9365,17050,,
16,2018,4,117865,20335,19670,21775,9510,17555,,
17,2019,1,114215,19930,21770,18615,9950,16905,,
18,2019,2,140420,25910,26445,26755,9570,19190,,
19,2019,3,137530,21565,24410,22180,10555,22870,,
20,2019,4,126730,21895,20965,20160,9740,18760,,
21,2020,1,128410,27055,23420,20720,12025,45195,6235,38960
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,148460,23695,27385,29765,15960,51655,9595,42060
25,2021,1,146865,29640,26110,25685,13495,51935,6990,44945
26,2021,2,194145,38565,34705,38870,18185,63820,10750,53070
27,2021,3,238050,25380,36240,45410,28275,102745,15215,87530
28,2021,4,238140,24765,33100,42645,29300,108330,15335,92995
29,2022,1,224370,33005,30165,34290,26995,99910,13785,86125
