t,year,quarter,"Duration of job vacancy, all durations",Less than 15 days,15 to 29 days,30 to 59 days,60 to 89 days,90 days or more,90 to 119 days,120 days or more
1,2015,1,14230,3075,2920,1695,,2075,,
2,2015,2,15480,3895,2760,2480,700,1720,,
3,2015,3,11850,3545,2720,1340,610,1210,,
4,2015,4,10745,2715,2350,2005,660,980,,
5,2016,1,9415,2860,1720,1325,370,990,,
6,2016,2,9860,3270,2060,1245,570,1015,,
7,2016,3,9245,2645,1985,1255,495,1000,,
8,2016,4,8435,2395,2045,1090,465,835,,
9,2017,1,8465,2785,1635,1295,365,835,,
10,2017,2,11270,4200,2485,1510,475,945,,
11,2017,3,10075,3550,2085,1375,470,840,,
12,2017,4,9385,2865,1585,1220,575,1295,,
13,2018,1,9340,2930,1385,1395,495,1200,,
14,2018,2,11350,4100,2360,1490,760,1085,,
15,2018,3,10775,3115,2355,1570,730,1190,,
16,2018,4,8855,2350,1905,1380,730,1070,,
17,2019,1,8900,2930,1405,1410,570,1150,,
18,2019,2,11450,3855,2390,1460,790,1130,,
19,2019,3,11125,3740,1895,1855,560,995,,
20,2019,4,10430,3130,1730,1360,695,1415,,
21,2020,1,11625,4555,2075,1500,700,2790,630,2160
22,2020,2,,,,,,,,
23,2020,3,,,,,,,,
24,2020,4,10530,3930,1935,1765,690,2210,480,1730
25,2021,1,12090,4450,2215,1705,1090,2630,560,2075
26,2021,2,16990,6230,3880,2410,1360,3110,605,2505
27,2021,3,20325,4640,4190,4360,1955,5185,945,4240
28,2021,4,19830,3905,3995,3790,1830,6310,1195,5115
29,2022,1,20245,5465,3985,3580,1395,5815,850,4965
